cluster60_HDZ-culi-166-S197	EF120367.1.1551;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,s:Lactobacillus_brevis;	100.0	1483	0	0	1	1483	1	1551	-1	0
cluster17_HDZ-culi-057-S233	ADMB01000074.90.1632;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales-Selenomonadales,f:Selenomonadaceae,g:Megamonas,s:Megamonas_funiformis;	94.7	1504	78	2	1	1504	1	1543	-1	0
cluster0_HDZ-culi-348-S259	AB370249;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales,f:Veillonellaceae,g:Dialister,s:succinatiphilus;	92.2	1512	112	2	1	1506	1	1521	-1	0
cluster50_HDZ-culi-273-S313	X72865;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Acidaminococcales,f:Acidaminococcaceae,g:Phascolarctobacterium,s:faecium;	92.8	1492	104	3	1	1499	1	1511	-1	0
cluster9_HDZ-culi-065-S4	HM990965;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales,f:Veillonellaceae,g:Megasphaera,s:indica;	94.2	1515	81	6	1	1509	1	1566	-1	0
cluster5_HDZ-culi-354-S177	AB596944.1.1499;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Leuconostocaceae,g:Weissella,s:Weissella_confusa;	100.0	1487	0	0	1	1487	1	1499	-1	0
cluster44_HDZ-culi-240-S140	MK110833;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lacticaseibacillus,s:hegangensis;	100.0	1450	0	0	1	1484	1	1450	-1	0
cluster14_HDZ-culi-240-S140	NR_112541;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Paucilactobacillus,s:vaccinostercus;	99.8	1487	0	2	1	1486	1	1563	-1	0
cluster25_HDZ-culi-444-S296	AJ422034.1.1519;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,s:Lactobacillus_paralimentarius;	99.9	1484	2	0	1	1484	1	1519	-1	0
cluster104_HDZ-culi-166-S197	EU487512;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,s:taiwanensis;	99.8	1483	3	0	1	1483	1	1526	-1	0
cluster1_HDZ-culi-408-S338	LT960790.466711.468272;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Lactobacillus,s:Lactobacillus_sakei;	99.9	1484	2	0	1	1484	1	1562	-1	0
cluster93_HDZ-culi-224-S123	CP022609.4198416.4199967;tax=k:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Enterobacteriaceae,g:Escherichia-Shigella,s:Escherichia_coli;	99.5	1484	3	4	1	1484	1	1552	-1	0
cluster99_HDZ-culi-169-S244	ADMB01000074.90.1632;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales-Selenomonadales,f:Selenomonadaceae,g:Megamonas,s:Megamonas_funiformis;	95.1	1483	70	3	1	1483	1	1543	-1	0
cluster9_HDZ-culi-438-S275	AB282889;tax=k:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Lactobacillaceae,g:Secundilactobacillus,s:similis;	99.6	1486	2	2	1	1483	1	1528	-1	0
cluster1820_HDZ-culi-054-S192	237265;tax=k:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Veillonellaceae,g:Megamonas,s:hypermegale;	94.3	1479	80	2	1	1479	1	1478	-1	0
cluster1465_HDZ-culi-330-S323	X72865;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Acidaminococcales,f:Acidaminococcaceae,g:Phascolarctobacterium,s:faecium;	92.3	1481	106	5	1	1478	1	1511	-1	0
cluster274_HDZ-culi-398-S329	X72865;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Acidaminococcales,f:Acidaminococcaceae,g:Phascolarctobacterium,s:faecium;	92.4	1481	105	6	1	1478	1	1511	-1	0
cluster2737_HDZ-culi-097-S91	X72865;tax=k:Bacteria,p:Firmicutes,c:Negativicutes,o:Acidaminococcales,f:Acidaminococcaceae,g:Phascolarctobacterium,s:faecium;	92.1	1478	115	2	1	1478	1	1511	-1	0
